,Date,Text,Incident_cause,Location,Direction_landmark,Status,Near_landmark,Between_landmark
1280,2020-01-03 16:45:00,"due to watermain emergency works, the following road sections are still closed to all traffic: - the lanes no. 2 and 3 of tonkin street lei cheng uk estate bound near cheung sha wan road. only remaining lanes are still available to motorists. ",watermain emergency works,junction between cheung sha wan road and tonkin street,,updated,,
1281,2020-01-03 16:56:00,"due to traffic accident , the fast lane of lung cheung road kwun tong bound near hsin kuang centre is closed to all traffic. only the middle and slow lanes are still available to motorists. traffic is busy now. ",traffic accident,lung cheung road,kwun tong,new,hsin kuang centre,
1282,2020-01-03 16:54:00,"due to road incident , part of the lanes of lai chi kok road mei lai road bound near mei foo bus terminus is closed to all traffic. only remaining lane(s) are still available to motorists. traffic queues on lai chi kok road kwai chung bound ends at west kowloon corridor near fu cheong estate and cheung sha wan road near hing wah street. traffic is congested now. ",road incident,lai chi kok road,mei lai road,new,mei foo bus terminus,
1283,2020-01-03 17:05:28,the fast lane of lung cheung road kwun tong bound near hsin kuang centre which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,lung cheung road,kwun tong,new,hsin kuang centre,
1284,2020-01-03 17:09:00,"due to road incident , part of the lanes of lai chi kok road mei lai road bound near mei foo bus terminus is closed to all traffic. only remaining lane(s) are still available to motorists. traffic queues on lai chi kok road kwai chung bound ends at west kowloon corridor near nam cheong street and cheung sha wan road near tonkin street. traffic is congested now. ",road incident,lai chi kok road,mei lai road,updated,mei foo bus terminus,
1285,2020-01-03 17:21:00,"due to traffic accident , the fast lane of lung cheung road tsuen wan bound near beacon heights is closed to all traffic. only the slow lane is still available to motorists. traffic queue on lung cheung road tsuen wan bound ends at lung cheung road lookout. traffic is congested now. ",traffic accident,lung cheung road,tsuen wan,new,beacon heights,
1286,2020-01-03 17:26:00,"due to traffic accident , part of the lanes of magazine gap road near may road is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,magazine gap road,,new,may road,
1287,2020-01-03 17:29:00,"due to traffic accident , the fast lane of lung cheung road tsuen wan bound near beacon heights is still closed to all traffic. only the slow lane is still available to motorists. traffic queue on lung cheung road tsuen wan bound ends at chuk yuen road. traffic is congested now. ",traffic accident,lung cheung road,tsuen wan,updated,beacon heights,
1288,2020-01-03 17:32:59,traffic at tai po road mong kok bound has resumed normal. ,traffic accident happened earlier,tai po road,mong kok,new,,
1289,2020-01-03 17:35:00,"due to traffic accident , the fast lane of lung cheung road tsuen wan bound near beacon heights is still closed to all traffic. only the slow lane is still available to motorists. traffic queue on lung cheung road tsuen wan bound ends at diamond hill mtr station. traffic is congested now. ",traffic accident,lung cheung road,tsuen wan,updated,beacon heights,
1290,2020-01-03 17:38:00,"due to road incident , part of the lanes of lai chi kok road mei lai road bound near mei foo bus terminus is still closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on lai chi kok road kwai chung bound ends at west kowloon corridor near cherry street. traffic is congested now. ",road incident,lai chi kok road,mei lai road,updated,mei foo bus terminus,
1291,2020-01-03 17:44:00,"due to traffic accident , the fast lane of lung cheung road tsuen wan bound near beacon heights is still closed to all traffic. only the slow lane is still available to motorists. traffic queue on lung cheung road tsuen wan bound ends at kai yip estate. traffic is congested now. ",traffic accident,lung cheung road,tsuen wan,updated,beacon heights,
1292,2020-01-03 17:46:00,"due to vehicle breakdown , part of the lanes of the slip road leading from kwai chung road to cheung sha wan road mong kok bound near kom tsun street is closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on kwai chung road mong kok road bound ends at lai chi kok park. traffic is congested now. ",vehicle breakdown,kwai chung road,,new,kom tsun street,
1293,2020-01-03 17:50:28,part of the lanes of magazine gap road near may road which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,magazine gap road,,new,may road,
1294,2020-01-03 17:54:21,part of the lanes of lai chi kok road mei lai road bound near mei foo bus terminus which was closed due to road incident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,road incident,lai chi kok road,mei lai road,new,mei foo bus terminus,
1295,2020-01-03 17:55:00,"due to traffic accident, the lanes no. 3 &amp; 4 of tuen mun road tuen mun bound near tuen mun road bus interchange and the lane no. 4 of tuen mun road tsuen wan bound are closed to all traffic. only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,,,new,,
1296,2020-01-03 18:08:46,the fast lane of lung cheung road tsuen wan bound near beacon heights which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,lung cheung road,tsuen wan,new,beacon heights,
1297,2020-01-03 18:11:50,part of the lanes of the slip road leading from kwai chung road to cheung sha wan road mong kok bound near kom tsun street which was closed due to vehicle breakdown is re-opened to all traffic. traffic queue takes time to disperse. ,vehicle breakdown,kwai chung road,,new,kom tsun street,
1298,2020-01-03 18:09:00,"due to traffic accident, the lanes no. 3 &amp; 4 of tuen mun road tuen mun bound near tuen mun road bus interchange, and the lane no. 4 of tuen mun road kowloon bound are closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on tuen mun road tuen mun bound ends at sham tseng and traffic queue on tuen mun road kowloon bound ends at siu lam. traffic is congested now. ",traffic accident,tuen mun road,tuen mun,updated,tuen mun road bus-bus interchange,
1299,2020-01-03 18:25:00,"due to traffic accident , the lane no. 4 of tuen mun road tuen mun bound near tuen mun road bus-bus interchange is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tuen mun road tuen mun bound ends at ting kau bridge.   traffic is congested now. ",traffic accident,tuen mun road,tuen mun,updated,tuen mun road bus-bus interchange,
1300,2020-01-03 18:31:00,"due to traffic accident , the slow lane of tolo highway kowloon bound near university mtr station is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tolo highway,kowloon,new,university mtr station,
1301,2020-01-03 18:39:00,"due to traffic accident , the lane no. 4 of tuen mun road tuen mun bound near tuen mun road bus-bus interchange is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tuen mun road tuen mun bound ends at cheung tsing highway near kam chuk kok.   traffic is congested now. ",traffic accident,tuen mun road,tuen mun,updated,tuen mun road bus-bus interchange,
1302,2020-01-03 19:05:00,"due to heavy traffic, traffic at the following road sections is busy: - kwun tong road (yau tong bound) - lung cheung road (kwun tong bound, near diamond hill, wong tai sin) - wai yip street - wang kwong road - wang chiu road - kai cheung road - sheung yee road - kai fuk road motorists passing through the above section of road are advised to drive with utmost care and patience. ",traffic accident,,,new,,
